muestra_id,acidez fija,acidez volatil,acido citrico,azucar residual,cloruros,dioxido de azufre libre,dioxido de azufre total,pH,sulfatos,calidad,SO2_l / SO2_tot,diox_simil_1,diox_simil_2
0,9.5,0.56,0.33,2.4,0.089,35.0,67.0,3.28,0.73,7,0.5223880597014925,0.00822974704902003,0.41884682445147203
1,6.6,0.24,0.28,1.8,0.028,39.0,132.0,3.34,0.46,5,0.29545454545454547,4.322251274666006e-15,0.9910403787728836
2,9.4,0.59,0.14,2.0,0.084,25.0,48.0,3.14,0.56,5,0.5208333333333334,0.2663350969676039,0.21849328438476312
3,6.1,0.32,0.33,10.7,0.036,27.0,98.0,3.34,0.52,6,0.2755102040816326,2.7049830631279825e-07,0.8220122346781865
4,7.0,0.36,0.35,2.5,0.048,67.0,161.0,3.05,0.56,6,0.4161490683229814,4.031111852619467e-24,0.7362025458114003
5,7.5,0.21,0.68,10.9,0.045,38.0,133.0,3.0,0.36,5,0.2857142857142857,2.2950999526353423e-15,0.9878247258083831
6,6.0,0.28,0.24,17.8,0.047,42.0,111.0,3.1,0.45,6,0.3783783783783784,6.409946534463482e-10,0.9453027806520595
7,6.8,0.22,0.29,8.9,0.046,82.0,188.0,3.3,0.44,6,0.43617021276595747,1.690278252441856e-34,0.38251018447178037
8,8.3,0.27,0.39,2.4,0.058,16.0,107.0,3.28,0.59,5,0.14953271028037382,4.587181746647525e-09,0.91370273103288
9,6.4,0.22,0.38,9.1,0.044,35.0,127.0,2.97,0.3,7,0.2755905511811024,9.357622968840175e-14,0.999750031247396
10,7.7,0.26,0.32,1.2,0.04,26.0,117.0,3.21,0.56,5,0.2222222222222222,2.796688455926927e-11,0.9799536542670847
11,7.6,0.29,0.29,4.4,0.051,26.0,146.0,3.16,0.39,5,0.1780821917808219,3.54705175499289e-19,0.9048374180359595
12,6.2,0.25,0.38,7.9,0.045,54.0,208.0,3.17,0.46,5,0.25961538461538464,2.0712638960324736e-43,0.186187695219304
13,7.6,0.3,0.22,10.2,0.049,57.0,191.0,3.08,0.4,6,0.29842931937172773,9.070826166408033e-36,0.3477574586840902
14,7.2,0.37,0.4,11.6,0.032,34.0,214.0,3.1,0.51,6,0.1588785046728972,2.7508618916677084e-46,0.14427991674278817
15,6.7,0.35,0.32,9.0,0.032,29.0,113.0,3.13,0.65,7,0.25663716814159293,2.3113942871074907e-10,0.9586300930895252
16,6.2,0.22,0.3,12.4,0.054,108.0,152.0,3.1,0.47,6,0.7105263157894737,4.3898144201314395e-21,0.8445089033860343
17,8.6,0.55,0.35,15.55,0.057,35.5,366.5,3.04,0.63,3,0.09686221009549795,6.750381636999269e-151,5.248976740095667e-07
18,7.8,0.31,0.4,1.6,0.027,20.0,87.0,3.15,0.48,6,0.22988505747126436,2.0399503411171922e-05,0.6836904652289411
19,6.5,0.21,0.4,7.3,0.041,49.0,115.0,3.21,0.43,6,0.4260869565217391,8.137117671797838e-11,0.9702029524890169
20,5.8,0.23,0.27,1.8,0.043,24.0,69.0,3.38,0.31,6,0.34782608695652173,0.005031686815973131,0.44385826077685925
21,6.5,0.13,0.27,2.6,0.035,32.0,76.0,3.21,0.76,6,0.42105263157894735,0.0007443494072305689,0.5352614285189903
22,5.0,0.44,0.04,18.6,0.039,38.0,128.0,3.37,0.57,6,0.296875,5.120188741348687e-14,0.999000499833375
23,7.2,0.26,0.38,1.5,0.061,12.0,120.0,3.18,0.46,5,0.1,5.387174930744011e-12,0.9910403787728836
24,7.4,0.25,0.29,6.8,0.02,31.0,113.0,3.13,0.29,6,0.2743362831858407,2.3113942871074907e-10,0.9586300930895252
25,6.5,0.27,0.19,4.2,0.046,6.0,114.0,3.25,0.35,4,0.05263157894736842,1.3755462568592508e-10,0.9646402934831231
26,8.2,0.24,0.3,2.3,0.05,23.0,106.0,2.98,0.5,5,0.2169811320754717,7.39102064415364e-09,0.9048374180359595
27,7.0,0.12,0.32,7.2,0.058,22.0,89.0,3.29,0.38,6,0.24719101123595505,9.811062327352189e-06,0.7101706398545315
28,5.9,0.2,0.4,1.3,0.047,23.0,92.0,3.2,0.45,6,0.25,3.128365169273275e-06,0.7490122054026693
29,7.7,0.28,0.39,8.9,0.036,8.0,117.0,3.06,0.38,7,0.06837606837606838,2.796688455926927e-11,0.9799536542670847
30,7.5,0.25,0.32,8.2,0.024,53.0,209.0,3.12,0.46,6,0.2535885167464115,6.970898260626894e-44,0.1786637020001245
31,8.0,0.28,0.3,8.4,0.03,35.0,115.0,2.93,0.42,6,0.30434782608695654,8.137117671797838e-11,0.9702029524890169
32,5.9,0.14,0.2,1.6,0.04,26.0,114.0,3.25,0.45,6,0.22807017543859648,1.3755462568592508e-10,0.9646402934831231
33,8.1,0.17,0.21,1.6,0.036,24.0,119.0,3.18,0.52,6,0.20168067226890757,9.384140804010432e-12,0.9878247258083831
34,7.5,0.5,0.36,6.1,0.071,17.0,102.0,3.35,0.8,5,0.16666666666666666,4.691164021834418e-08,0.865887748059205
35,6.4,0.25,0.3,5.5,0.038,15.0,129.0,3.14,0.49,6,0.11627906976744186,2.784842452933014e-14,0.9977525293526299
36,6.9,0.32,0.26,2.3,0.03,11.0,103.0,3.06,0.42,6,0.10679611650485436,2.982258036495961e-08,0.8761219372139776
37,7.3,0.23,0.24,0.9,0.031,29.0,86.0,2.9,0.38,6,0.3372093023255814,2.915162210177123e-05,0.6703200460356393
38,8.3,0.16,0.37,7.9,0.025,38.0,107.0,2.93,0.37,6,0.35514018691588783,4.587181746647525e-09,0.91370273103288
39,9.4,0.28,0.3,1.6,0.045,36.0,139.0,3.11,0.49,5,0.2589928057553957,4.535551023872451e-17,0.9586300930895252
40,6.8,0.36,0.32,1.6,0.039,10.0,124.0,3.3,0.67,5,0.08064516129032258,5.51022914228981e-13,0.999000499833375
41,6.7,0.33,0.36,6.6,0.042,34.0,116.0,2.97,0.31,8,0.29310344827586204,4.784760746553178e-11,0.9753099120283326
42,7.7,0.69,0.05,2.7,0.075,15.0,27.0,3.26,0.61,5,0.5555555555555556,1.0,0.08627201579919554
43,6.8,0.12,0.31,5.2,0.045,29.0,120.0,3.41,0.46,7,0.24166666666666667,5.387174930744011e-12,0.9910403787728836
44,6.9,0.34,0.49,7.3,0.045,61.0,206.0,3.09,0.4,6,0.2961165048543689,1.7960214369502856e-42,0.20189651799465538
45,8.0,0.24,0.48,6.8,0.047,13.0,134.0,3.23,0.7,5,0.09701492537313433,1.2113996115597754e-15,0.9841273200552851
46,7.1,0.42,0.2,2.8,0.038,28.0,109.0,3.23,0.47,6,0.25688073394495414,1.7354484227940743e-09,0.9302982921639203
47,6.0,0.24,0.27,1.9,0.048,40.0,170.0,3.64,0.54,7,0.23529411764705882,2.2768604782708498e-27,0.6163132019122897
48,6.5,0.38,0.34,3.4,0.036,34.0,200.0,3.14,0.76,5,0.17,1.0139145453022103e-39,0.25436119360819465
49,7.6,0.21,0.44,1.9,0.036,10.0,119.0,3.01,0.7,6,0.08403361344537816,9.384140804010432e-12,0.9878247258083831
50,5.8,0.24,0.39,1.5,0.054,37.0,158.0,3.21,0.52,6,0.23417721518987342,4.377409621689854e-23,0.7741419687922484
51,7.0,0.3,0.38,14.9,0.032,60.0,181.0,3.18,0.61,7,0.3314917127071823,1.2612936275556696e-31,0.46942346850496713
52,6.8,0.24,0.38,8.3,0.045,50.0,185.0,3.15,0.5,6,0.2702702702702703,2.984129468011159e-33,0.41884682445147203
53,6.5,0.22,0.72,6.8,0.042,33.0,168.0,3.12,0.36,6,0.19642857142857142,1.251336797465485e-26,0.6433927065729562
54,7.8,0.18,0.31,12.2,0.053,46.0,140.0,3.06,0.53,6,0.32857142857142857,2.3093049247977918e-17,0.9521811296985049
55,6.8,0.17,0.17,5.1,0.049,26.0,82.0,3.0,0.38,6,0.3170731707317073,0.00011449264189049966,0.6163132019122897
56,7.6,0.3,0.37,1.6,0.087,27.0,177.0,3.09,0.5,5,0.15254237288135594,4.843089239878731e-30,0.5219152816293969
57,7.1,0.18,0.32,12.2,0.048,36.0,125.0,2.92,0.54,6,0.288,3.069780955097918e-13,0.999750031247396
58,5.7,0.26,0.24,17.8,0.059,23.0,124.0,3.3,0.5,5,0.18548387096774194,5.51022914228981e-13,0.999000499833375
59,6.4,0.16,0.22,1.4,0.04,41.0,149.0,3.49,0.58,6,0.2751677852348993,4.0539911292540826e-20,0.8761219372139776
60,7.15,0.17,0.24,9.6,0.119,56.0,178.0,3.15,0.44,6,0.3146067415730337,1.9631548368028403e-30,0.5086475186803137
61,7.0,0.15,0.28,14.7,0.051,29.0,149.0,2.96,0.39,7,0.19463087248322147,4.0539911292540826e-20,0.8761219372139776
62,6.3,0.26,0.21,4.0,0.03,24.0,125.0,3.06,0.34,6,0.192,3.069780955097918e-13,0.999750031247396
63,8.3,0.2,0.49,1.7,0.04,34.0,169.0,3.05,0.37,5,0.20118343195266272,5.353751396749578e-27,0.6298648540434844
