muestra_id,acidez fija,acidez volatil,acido citrico,azucar residual,cloruros,dioxido de azufre total,pH,sulfatos,calidad,densidad_alcohol,SO2_l / SO2_tot,diox_simil_1,diox_simil_2
1334,8.3,0.2,0.49,1.7,0.04,169.0,3.05,0.37,5,10.03738,0.20118343195266272,5.353751396749578e-27,0.6298648540434844
79,10.6,0.42,0.48,2.7,0.065,18.0,3.21,0.87,6,11.268360000000001,0.2777777777777778,0.7842715137715565,0.05414985409492427
3257,9.3,0.39,0.4,2.6,0.073,26.0,3.34,0.75,6,10.183679999999999,0.38461538461538464,0.997004495503373,0.0820849986238988
1606,6.6,0.22,0.28,12.05,0.058,125.0,3.45,0.45,5,9.386464,0.2,3.069780955097918e-13,0.999750031247396
4634,7.1,0.68,0.07,1.9,0.075,51.0,3.38,0.52,5,9.470075,0.3137254901960784,0.17763933359513495,0.2450605392455259
4035,7.7,0.31,0.36,4.3,0.026,87.0,3.11,0.48,5,11.89824,0.1724137931034483,2.0399503411171922e-05,0.6836904652289411
1815,7.9,0.16,0.3,7.4,0.05,152.0,3.12,0.37,6,9.46314,0.3815789473684211,4.3898144201314395e-21,0.8445089033860343
2492,6.6,0.34,0.4,8.1,0.046,170.0,3.15,0.5,6,9.90263782,0.4,2.2768604782708498e-27,0.6163132019122897
721,6.6,0.15,0.34,1.0,0.037,79.0,2.96,0.5,6,11.577032999999998,0.569620253164557,0.0002999184360822198,0.5756531326166507
2114,7.3,0.18,0.29,1.0,0.036,101.0,3.09,0.37,6,11.582999999999998,0.25742574257425743,7.335171144838272e-08,0.8553453273074225
1615,7.3,0.19,0.27,1.6,0.027,136.0,3.38,0.54,7,10.91728,0.25735294117647056,3.3146813253630435e-16,0.9753099120283326
5119,8.0,0.18,0.49,1.8,0.061,145.0,3.23,0.48,5,9.942,0.06896551724137931,7.221890544425696e-19,0.91370273103288
3082,7.1,0.31,0.17,1.0,0.042,144.0,3.13,0.4,5,9.533184,0.14583333333333334,1.4615999237207966e-18,0.922193691444608
3298,5.4,0.185,0.19,7.1,0.048,110.0,3.26,0.41,6,9.44661,0.32727272727272727,1.0578788696485318e-09,0.9380049995307295
2732,7.0,0.16,0.3,2.6,0.043,90.0,2.88,0.47,6,11.093264,0.37777777777777777,6.743037951139162e-06,0.7232502423798424
3492,7.0,0.17,0.37,1.5,0.028,75.0,3.3,0.46,7,10.71576,0.3466666666666667,0.0009957642750772577,0.5219152816293969
2893,8.0,0.6,0.22,2.1,0.08,105.0,3.3,0.49,5,9.861687,0.23809523809523808,1.1837421617474535e-08,0.895610204755188
2331,6.2,0.36,0.24,2.2,0.095,42.0,3.57,0.57,6,11.63682,0.4523809523809524,0.5091564206075492,0.17135805889335737
4812,5.7,0.21,0.25,1.1,0.035,81.0,3.31,0.52,6,11.28828,0.32098765432098764,0.00015877856490002055,0.6027516647500953
23,7.2,0.26,0.38,1.5,0.061,120.0,3.18,0.46,5,10.315968,0.1,5.387174930744011e-12,0.9910403787728836
2776,7.0,0.22,0.28,10.6,0.039,117.0,3.05,0.55,7,11.425825,0.27350427350427353,2.796688455926927e-11,0.9799536542670847
2876,5.8,0.3,0.27,1.7,0.014,104.0,3.4,0.56,7,12.463163999999999,0.4326923076923077,1.8845343174858356e-08,0.8860339595928756
584,7.7,0.3,0.34,1.2,0.048,119.0,3.18,0.34,6,11.989164,0.03361344537815126,9.384140804010432e-12,0.9878247258083831
1501,7.1,0.37,0.67,10.5,0.045,155.0,3.16,0.44,5,8.67825,0.3161290322580645,4.503577342094862e-22,0.8103816252373415
2819,6.8,0.21,0.49,14.5,0.06,170.0,3.55,0.44,6,9.79118,0.29411764705882354,2.2768604782708498e-27,0.6163132019122897
2622,5.7,0.32,0.5,2.6,0.049,155.0,3.22,0.64,6,9.927,0.10967741935483871,4.503577342094862e-22,0.8103816252373415
3455,6.7,0.22,0.37,1.6,0.028,102.0,3.29,0.59,7,11.49908,0.23529411764705882,4.691164021834418e-08,0.865887748059205
1158,5.4,0.595,0.1,2.8,0.042,80.0,3.36,0.38,5,9.23676,0.325,0.00021887713784097935,0.5891938690486437
3988,5.9,0.18,0.28,1.0,0.037,88.0,3.29,0.55,7,10.553511,0.2727272727272727,1.4189617822929707e-05,0.6969789984668727
2807,7.8,0.82,0.29,4.3,0.083,64.0,3.16,0.53,5,9.366348,0.328125,0.016457071758747287,0.38251018447178037
3548,5.9,0.415,0.13,1.4,0.04,64.0,3.29,0.52,5,10.418099999999999,0.171875,0.016457071758747287,0.38251018447178037
3750,7.6,0.63,0.03,2.0,0.08,43.0,3.44,0.64,6,10.854002,0.627906976744186,0.4639400210916467,0.1786637020001245
2438,7.9,0.22,0.38,8.0,0.043,152.0,3.12,0.32,7,11.4241,0.3026315789473684,4.3898144201314395e-21,0.8445089033860343
624,7.3,0.39,0.31,2.4,0.074,46.0,3.41,0.54,6,9.36428,0.1956521739130435,0.3385782657208353,0.20189651799465538
1536,5.8,0.26,0.24,9.2,0.044,152.0,3.31,0.38,5,9.36334,0.3618421052631579,4.3898144201314395e-21,0.8445089033860343
168,5.0,0.24,0.34,1.1,0.034,158.0,3.32,0.32,7,12.939393999999998,0.310126582278481,4.377409621689854e-23,0.7741419687922484
3208,8.1,0.545,0.18,1.9,0.08,35.0,3.3,0.59,6,8.9748,0.37142857142857144,0.8253068684916823,0.12615423920258956
2458,7.4,0.18,0.4,1.6,0.047,102.0,3.28,0.44,5,10.63259,0.21568627450980393,4.691164021834418e-08,0.865887748059205
422,6.6,0.17,0.28,1.1,0.034,108.0,3.0,0.52,7,11.773741000000001,0.5092592592592593,2.8299692247416165e-09,0.922193691444608
3704,7.7,0.23,0.37,1.8,0.046,60.0,3.41,0.71,6,12.06491,0.38333333333333336,0.03812061755647895,0.336552878364737
4928,7.4,0.59,0.08,4.4,0.086,29.0,3.38,0.5,4,8.9766,0.20689655172413793,0.9880717128619305,0.09515482282280588
4686,10.6,0.36,0.57,2.3,0.087,20.0,3.14,0.72,7,11.064036,0.3,0.8632939774163194,0.060265227497298776
654,7.1,0.18,0.74,15.6,0.044,176.0,3.38,0.67,6,8.996400000000001,0.25,1.187639468071445e-29,0.5352614285189903
279,6.2,0.39,0.24,4.8,0.037,138.0,3.23,0.43,7,11.107487999999998,0.32608695652173914,8.854683967714215e-17,0.9646402934831231
4424,6.7,0.16,0.64,2.1,0.059,52.0,3.34,0.71,6,11.143328,0.46153846153846156,0.15335496684492847,0.25436119360819465
3382,7.8,0.53,0.04,1.7,0.076,31.0,3.33,0.56,6,9.963999999999999,0.5483870967741935,0.9531337870775047,0.10474253370494471
