muestra_id,acidez fija,acidez volatil,acido citrico,azucar residual,cloruros,dioxido de azufre libre,dioxido de azufre total,pH,sulfatos,calidad
0,9.5,0.56,0.33,2.4,0.089,35.0,67.0,3.28,0.73,7
1,6.6,0.24,0.28,1.8,0.028,39.0,132.0,3.34,0.46,5
2,9.4,0.59,0.14,2.0,0.084,25.0,48.0,3.14,0.56,5
3,6.1,0.32,0.33,10.7,0.036,27.0,98.0,3.34,0.52,6
4,7.0,0.36,0.35,2.5,0.048,67.0,161.0,3.05,0.56,6
5,7.5,0.21,0.68,10.9,0.045,38.0,133.0,3.0,0.36,5
6,6.0,0.28,0.24,17.8,0.047,42.0,111.0,3.1,0.45,6
7,6.8,0.22,0.29,8.9,0.046,82.0,188.0,3.3,0.44,6
8,8.3,0.27,0.39,2.4,0.058,16.0,107.0,3.28,0.59,5
9,6.4,0.22,0.38,9.1,0.044,35.0,127.0,2.97,0.3,7
10,7.7,0.26,0.32,1.2,0.04,26.0,117.0,3.21,0.56,5
11,7.6,0.29,0.29,4.4,0.051,26.0,146.0,3.16,0.39,5
12,6.2,0.25,0.38,7.9,0.045,54.0,208.0,3.17,0.46,5
13,7.6,0.3,0.22,10.2,0.049,57.0,191.0,3.08,0.4,6
14,7.2,0.37,0.4,11.6,0.032,34.0,214.0,3.1,0.51,6
15,6.7,0.35,0.32,9.0,0.032,29.0,113.0,3.13,0.65,7
16,6.2,0.22,0.3,12.4,0.054,108.0,152.0,3.1,0.47,6
17,8.6,0.55,0.35,15.55,0.057,35.5,366.5,3.04,0.63,3
18,7.8,0.31,0.4,1.6,0.027,20.0,87.0,3.15,0.48,6
19,6.5,0.21,0.4,7.3,0.041,49.0,115.0,3.21,0.43,6
20,5.8,0.23,0.27,1.8,0.043,24.0,69.0,3.38,0.31,6
21,6.5,0.13,0.27,2.6,0.035,32.0,76.0,3.21,0.76,6
22,5.0,0.44,0.04,18.6,0.039,38.0,128.0,3.37,0.57,6
23,7.2,0.26,0.38,1.5,0.061,12.0,120.0,3.18,0.46,5
